INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Hollywood,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DRUG STORE
77th Street,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Southwest,56,VANDALISM - MISDEAMEANOR ($399 OR UNDER),STREET
Newton,71,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,22,"THEFT, PERSON",BUS STOP
Devonshire,27,STALKING,SINGLE FAMILY DWELLING
Foothill,63,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Van Nuys,21,BURGLARY FROM VEHICLE,STREET
Hollywood,23,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER STORE
Southwest,21,BIKE - STOLEN,STREET
Topanga,29,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Devonshire,0,VEHICLE - STOLEN,STREET
Pacific,34,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER PREMISE
West Valley,0,VEHICLE - STOLEN,STREET
Van Nuys,18,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
Foothill,39,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
77th Street,43,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,43,CRIMINAL THREATS - NO WEAPON DISPLAYED,OTHER BUSINESS
N Hollywood,66,OTHER ASSAULT,YARD (RESIDENTIAL/BUSINESS)
West LA,33,THEFT PLAIN - PETTY ($950 & UNDER),OTHER BUSINESS
Mission,31,BURGLARY FROM VEHICLE,STREET
Southwest,42,ROBBERY,MOTEL
Harbor,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",GARAGE/CARPORT
Southeast,49,THROWING OBJECT AT MOVING VEHICLE,STREET
Pacific,35,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER RESIDENCE
Southeast,19,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Rampart,0,VEHICLE - STOLEN,PARKING LOT
Hollywood,29,BURGLARY FROM VEHICLE,STREET
West LA,44,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),GARAGE/CARPORT
Southwest,0,VEHICLE - STOLEN,STREET
Southeast,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
Northeast,46,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Olympic,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",RESTAURANT/FAST FOOD
Southwest,44,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,62,BURGLARY,LIQUOR STORE
Newton,50,THEFT PLAIN - PETTY ($950 & UNDER),HEALTH SPA/GYM
Northeast,0,VEHICLE - STOLEN,STREET
77th Street,37,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Mission,52,VIOLATION OF RESTRAINING ORDER,STREET
Foothill,0,VEHICLE - STOLEN,STREET
Devonshire,0,VEHICLE - STOLEN,STREET
Wilshire,52,CRIMINAL THREATS - NO WEAPON DISPLAYED,STREET
Newton,58,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Pacific,30,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",MAIL BOX
Pacific,0,ROBBERY,STREET
Van Nuys,28,BURGLARY FROM VEHICLE,PARKING LOT
West LA,33,BURGLARY FROM VEHICLE,GARAGE/CARPORT
West LA,42,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,33,CRIMINAL THREATS - NO WEAPON DISPLAYED,SYNAGOGUE/TEMPLE
77th Street,53,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Central,17,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,50,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Van Nuys,77,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
Van Nuys,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Van Nuys,61,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",ABANDONED BUILDING ABANDONED HOUSE
N Hollywood,0,VEHICLE - STOLEN,STREET
Foothill,80,CONTEMPT OF COURT,SINGLE FAMILY DWELLING
77th Street,6,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Southwest,35,INTIMATE PARTNER - SIMPLE ASSAULT,DRIVEWAY
Rampart,63,ROBBERY,YARD (RESIDENTIAL/BUSINESS)
Foothill,45,VIOLATION OF RESTRAINING ORDER,SINGLE FAMILY DWELLING
Hollywood,67,BURGLARY,APARTMENT/CONDO COMMON LAUNDRY ROOM
West LA,54,BATTERY - SIMPLE ASSAULT,SHOPPING MALL (COMMON AREA)
Foothill,55,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Newton,37,VIOLATION OF COURT ORDER,TRANSITIONAL HOUSING/HALFWAY HOUSE
Newton,54,ROBBERY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,18,BATTERY - SIMPLE ASSAULT,PARKING LOT
Devonshire,31,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Hollenbeck,22,INTIMATE PARTNER - SIMPLE ASSAULT,LAUNDROMAT
Northeast,0,BURGLARY,OTHER BUSINESS
Mission,65,BATTERY - SIMPLE ASSAULT,MEDICAL/DENTAL OFFICES
West LA,60,DOCUMENT FORGERY / STOLEN FELONY,SINGLE FAMILY DWELLING
Newton,33,VIOLATION OF COURT ORDER,POLICE FACILITY
Newton,23,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
N Hollywood,22,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Mission,29,BATTERY - SIMPLE ASSAULT,DRUG STORE
Rampart,28,ATTEMPTED ROBBERY,SIDEWALK
Wilshire,31,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Pacific,22,BATTERY WITH SEXUAL CONTACT,BEACH
Southeast,0,BURGLARY,OTHER BUSINESS
Central,0,OTHER ASSAULT,SIDEWALK
Northeast,23,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Harbor,59,BATTERY - SIMPLE ASSAULT,HOSPITAL
Harbor,0,VEHICLE - STOLEN,PARKING LOT
Hollenbeck,0,VEHICLE - STOLEN,STREET
Mission,24,INTIMATE PARTNER - AGGRAVATED ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,0,DISCHARGE FIREARMS/SHOTS FIRED,SIDEWALK
Northeast,0,VEHICLE - STOLEN,STREET
Harbor,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Foothill,40,INTIMATE PARTNER - SIMPLE ASSAULT,PARK/PLAYGROUND
Southeast,0,VEHICLE - STOLEN,STREET
Rampart,0,VEHICLE - STOLEN,PARKING LOT
Northeast,40,BURGLARY FROM VEHICLE,STREET
Pacific,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),OTHER BUSINESS
Van Nuys,54,TRESPASSING,YARD (RESIDENTIAL/BUSINESS)
West LA,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Foothill,0,ROBBERY,MINI-MART
Southwest,52,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ALLEY
Southwest,57,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Northeast,34,BURGLARY,SINGLE FAMILY DWELLING
West LA,58,BURGLARY FROM VEHICLE,SINGLE FAMILY DWELLING
77th Street,33,INTIMATE PARTNER - SIMPLE ASSAULT,YARD (RESIDENTIAL/BUSINESS)
Mission,40,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Devonshire,42,"BUNCO, GRAND THEFT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,18,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Southwest,20,ROBBERY,STREET
Devonshire,21,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Newton,0,VEHICLE - STOLEN,STREET
Rampart,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),SIDEWALK
Mission,33,BURGLARY FROM VEHICLE,DRIVEWAY
Northeast,30,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Olympic,26,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Rampart,27,BATTERY - SIMPLE ASSAULT,YARD (RESIDENTIAL/BUSINESS)
Newton,43,BURGLARY FROM VEHICLE,DRIVEWAY
Wilshire,29,BURGLARY,OTHER BUSINESS
Devonshire,60,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Topanga,29,BATTERY - SIMPLE ASSAULT,PARKING LOT
Olympic,44,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
N Hollywood,34,THEFT OF IDENTITY,CYBERSPACE
Hollywood,24,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,54,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
Wilshire,31,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
West Valley,40,BATTERY - SIMPLE ASSAULT,DRIVEWAY
N Hollywood,23,BATTERY - SIMPLE ASSAULT,LIQUOR STORE
Rampart,56,BURGLARY FROM VEHICLE,STREET
77th Street,25,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
Southeast,40,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,21,BURGLARY,SINGLE FAMILY DWELLING
Olympic,0,BURGLARY,SPECIALTY SCHOOL/OTHER
Southeast,0,VEHICLE - STOLEN,STREET
Rampart,35,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
Harbor,69,BURGLARY FROM VEHICLE,STREET
Hollenbeck,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),OTHER BUSINESS
Pacific,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
Devonshire,25,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
Southeast,0,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
West LA,57,BURGLARY FROM VEHICLE,STREET
Southwest,75,VEHICLE - ATTEMPT STOLEN,STREET
Newton,35,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK"
Hollenbeck,31,CRIMINAL THREATS - NO WEAPON DISPLAYED,ALLEY
Southwest,42,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,42,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,32,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Hollywood,0,VEHICLE - STOLEN,STREET
Hollenbeck,0,THEFT OF IDENTITY,BANK
Olympic,56,BURGLARY,CONSTRUCTION SITE
Wilshire,0,ARSON,SINGLE FAMILY DWELLING
Newton,46,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Newton,33,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Wilshire,28,BURGLARY,RESTAURANT/FAST FOOD
Southeast,46,BURGLARY FROM VEHICLE,PARKING LOT
Central,52,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
Wilshire,28,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Northeast,63,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,48,BATTERY WITH SEXUAL CONTACT,STREET
Newton,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Van Nuys,60,THEFT OF IDENTITY,STREET
Harbor,0,THEFT PLAIN - PETTY ($950 & UNDER),LAUNDROMAT
Newton,0,VEHICLE - STOLEN,STREET
77th Street,43,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
N Hollywood,0,BURGLARY FROM VEHICLE,STREET
Southwest,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SINGLE FAMILY DWELLING
Southeast,38,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
West LA,24,THEFT PLAIN - PETTY ($950 & UNDER),MTA BUS
West Valley,36,THEFT PLAIN - PETTY ($950 & UNDER),"PORCH, RESIDENTIAL"
Devonshire,51,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
N Hollywood,36,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Topanga,35,ATTEMPTED ROBBERY,MARKET
Pacific,44,BURGLARY FROM VEHICLE,SIDEWALK
Topanga,24,BRANDISH WEAPON,SINGLE FAMILY DWELLING
Hollywood,48,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING
77th Street,22,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",STREET
N Hollywood,32,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Hollywood,24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Topanga,29,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Central,59,BURGLARY,OTHER STORE
Rampart,23,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,38,BATTERY - SIMPLE ASSAULT,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
West LA,36,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,0,VEHICLE - STOLEN,STREET
Pacific,88,BIKE - STOLEN,PARKING LOT
N Hollywood,0,BURGLARY,AUTO REPAIR SHOP
Central,45,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,0,VEHICLE - STOLEN,STREET
Devonshire,51,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Devonshire,60,THEFT OF IDENTITY,PARKING LOT
Van Nuys,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Devonshire,0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DRUG STORE
Newton,39,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Central,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Topanga,35,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,38,BURGLARY FROM VEHICLE,PARKING LOT
Newton,0,BURGLARY,WAREHOUSE
Pacific,0,THEFT PLAIN - PETTY ($950 & UNDER),OTHER BUSINESS
Southwest,19,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",EQUIPMENT RENTAL
Foothill,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OTHER BUSINESS
Mission,15,CHILD ANNOYING (17YRS & UNDER),SINGLE FAMILY DWELLING
Central,60,BRANDISH WEAPON,METROLINK TRAIN
Hollywood,22,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
Devonshire,46,ROBBERY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,0,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Southwest,21,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Wilshire,59,THEFT PLAIN - PETTY ($950 & UNDER),MARKET
Foothill,25,BURGLARY FROM VEHICLE,STREET
Wilshire,37,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,0,VEHICLE - STOLEN,STREET
Southwest,8,CHILD NEGLECT (SEE 300 W.I.C.),STREET
Devonshire,38,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Northeast,0,VEHICLE - STOLEN,PARKING LOT
Olympic,42,BURGLARY FROM VEHICLE,STREET
Mission,0,VEHICLE - STOLEN,STREET
Southeast,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Foothill,26,OTHER MISCELLANEOUS CRIME,STREET
Central,26,ROBBERY,SIDEWALK
Southwest,21,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING UNDERGROUND/BUILDING
Mission,15,KIDNAPPING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Topanga,27,SHOPLIFTING - PETTY THEFT ($950 & UNDER),DEPARTMENT STORE
Hollenbeck,35,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
West LA,27,INTIMATE PARTNER - AGGRAVATED ASSAULT,SINGLE FAMILY DWELLING
West Valley,0,DOCUMENT FORGERY / STOLEN FELONY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollywood,0,TRESPASSING,OTHER BUSINESS
Van Nuys,26,ROBBERY,SIDEWALK
N Hollywood,26,INTIMATE PARTNER - AGGRAVATED ASSAULT,TRANSIENT ENCAMPMENT
West Valley,55,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Central,56,BATTERY - SIMPLE ASSAULT,YARD (RESIDENTIAL/BUSINESS)
Northeast,0,BURGLARY,OTHER BUSINESS
Pacific,0,VEHICLE - STOLEN,PARKING LOT
Harbor,39,OTHER ASSAULT,YARD (RESIDENTIAL/BUSINESS)
West LA,46,THEFT OF IDENTITY,OTHER RESIDENCE
77th Street,0,THEFT PLAIN - PETTY ($950 & UNDER),GARAGE/CARPORT
Southwest,20,INTIMATE PARTNER - AGGRAVATED ASSAULT,STREET
Wilshire,76,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,28,BURGLARY FROM VEHICLE,STREET
Van Nuys,0,THEFT PLAIN - PETTY ($950 & UNDER),APARTMENT/CONDO COMMON LAUNDRY ROOM
77th Street,59,BATTERY - SIMPLE ASSAULT,SIDEWALK
Wilshire,0,BURGLARY,OTHER BUSINESS
Foothill,29,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Foothill,63,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"VEHICLE, PASSENGER/TRUCK"
Hollenbeck,46,BATTERY - SIMPLE ASSAULT,SIDEWALK
77th Street,39,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",PARKING LOT
Van Nuys,44,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Harbor,54,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS
West Valley,33,INTIMATE PARTNER - SIMPLE ASSAULT,STREET
Northeast,0,VEHICLE - STOLEN,PARKING LOT
Topanga,40,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Newton,0,BURGLARY,OTHER BUSINESS
77th Street,41,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Hollenbeck,0,VEHICLE - STOLEN,STREET
Pacific,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
Harbor,0,BURGLARY,OTHER BUSINESS
Hollenbeck,45,INTIMATE PARTNER - AGGRAVATED ASSAULT,OTHER RESIDENCE
Devonshire,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT
Olympic,15,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Foothill,52,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Central,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
Newton,34,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",OFFICE BUILDING/OFFICE
Southeast,58,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SINGLE FAMILY DWELLING
Harbor,0,FAILURE TO YIELD,STREET
Wilshire,0,VEHICLE - STOLEN,STREET
Hollenbeck,24,CHILD PORNOGRAPHY,SINGLE FAMILY DWELLING
Northeast,42,BATTERY - SIMPLE ASSAULT,STREET
Wilshire,22,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,59,BURGLARY FROM VEHICLE,DRIVEWAY
Olympic,52,BURGLARY FROM VEHICLE,STREET
Olympic,0,BIKE - STOLEN,STREET
Pacific,33,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",TRANSPORTATION FACILITY (AIRPORT)
N Hollywood,55,THEFT PLAIN - PETTY ($950 & UNDER),STREET
Southwest,19,BRANDISH WEAPON,SIDEWALK
Hollywood,63,BRANDISH WEAPON,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Wilshire,36,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING
Olympic,46,BATTERY WITH SEXUAL CONTACT,OTHER RESIDENCE
Hollenbeck,19,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",DRIVEWAY
Newton,30,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",SIDEWALK
Central,30,"THEFT, PERSON",STREET
Central,23,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",WAREHOUSE
Northeast,0,VEHICLE - STOLEN,PARKING LOT
Harbor,71,BURGLARY,SINGLE FAMILY DWELLING
Wilshire,0,VEHICLE - STOLEN,DRIVEWAY
N Hollywood,54,BATTERY - SIMPLE ASSAULT,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
Mission,0,VEHICLE - STOLEN,STREET
Newton,34,INTIMATE PARTNER - AGGRAVATED ASSAULT,PARK/PLAYGROUND
Mission,22,BURGLARY,PUBLIC STORAGE
Rampart,0,BURGLARY,ELEMENTARY SCHOOL
Pacific,33,THEFT OF IDENTITY,OTHER STORE
Hollenbeck,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Newton,50,BRANDISH WEAPON,SIDEWALK
West LA,40,BURGLARY FROM VEHICLE,STREET
Van Nuys,0,VEHICLE - STOLEN,PARKING LOT
Central,25,"BUNCO, PETTY THEFT",SIDEWALK
Southeast,0,VEHICLE - STOLEN,STREET
Hollenbeck,33,BATTERY - SIMPLE ASSAULT,OTHER BUSINESS
Olympic,0,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),CELL PHONE STORE
Central,0,TRESPASSING,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,0,VEHICLE - STOLEN,PARKING LOT
Southwest,41,VANDALISM - MISDEAMEANOR ($399 OR UNDER),SINGLE FAMILY DWELLING
Hollywood,26,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
77th Street,33,BRANDISH WEAPON,SINGLE FAMILY DWELLING
Pacific,24,THREATENING PHONE CALLS/LETTERS,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,59,BURGLARY FROM VEHICLE,GARAGE/CARPORT
Hollenbeck,33,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West LA,34,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),STREET
West Valley,39,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),GARAGE/CARPORT
Central,24,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,64,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Devonshire,70,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",SIDEWALK
Wilshire,43,BRANDISH WEAPON,OTHER/OUTSIDE
Harbor,0,VEHICLE - STOLEN,PARKING LOT
Pacific,41,BURGLARY FROM VEHICLE,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,36,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
Mission,0,VEHICLE - STOLEN,STREET
Newton,38,THEFT OF IDENTITY,OTHER BUSINESS
Wilshire,28,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),PARKING LOT
Devonshire,0,BURGLARY,OTHER BUSINESS
Wilshire,0,VEHICLE - STOLEN,STREET
Hollywood,25,BURGLARY FROM VEHICLE,STREET
Northeast,0,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",OTHER BUSINESS
N Hollywood,0,TRESPASSING,PARKING LOT
West LA,36,BURGLARY FROM VEHICLE,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Northeast,26,BATTERY - SIMPLE ASSAULT,SIDEWALK
Central,43,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",PARKING LOT
Central,56,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,35,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Southwest,45,BATTERY - SIMPLE ASSAULT,STREET
Northeast,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Rampart,0,VEHICLE - STOLEN,STREET
Pacific,21,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",TRANSPORTATION FACILITY (AIRPORT)
Mission,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Wilshire,42,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Pacific,35,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),"VEHICLE, PASSENGER/TRUCK"
Pacific,55,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BEACH
West LA,0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
